"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"5861",99563,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5862",99564,2,2,1,2,1,2,2,1,2,7,2.97,3,1,NA,1
"5863",99565,2,2,1,2,2,2,2,2,2,99,NA,1,9,NA,3
"5864",99566,1,1,2,2,2,2,2,2,1,9,2.39,3,1,NA,1
"5865",99567,1,2,2,2,2,2,2,2,2,77,NA,2,7,NA,1
"5866",99568,1,2,2,2,2,2,2,2,2,9,3.65,3,2,3,4
"5867",99569,1,2,1,2,2,2,2,2,1,5,0.94,1,2,1,7
"5868",99570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5869",99571,1,2,1,2,2,9,2,2,2,6,1.02,1,2,1,1
"5870",99572,1,2,2,2,2,2,2,2,2,5,0.83,1,2,1,1
"5871",99573,1,2,2,2,2,2,2,2,2,7,2.97,3,2,2,1
"5872",99574,1,2,1,2,1,2,2,1,2,11,4.35,3,1,NA,1
"5873",99575,1,1,1,2,2,2,2,2,2,12,5,3,1,NA,1
"5874",99576,1,2,2,2,2,2,2,2,2,77,NA,9,2,99,1
"5875",99577,1,2,2,2,2,2,2,2,2,11,5,3,2,3,1
"5876",99578,2,1,2,2,2,2,2,2,1,99,NA,9,2,1,1
"5877",99579,1,2,2,2,2,2,2,2,2,12,4.59,3,1,NA,1
"5878",99580,1,2,1,1,1,2,2,2,1,8,2.2,3,1,NA,1
"5879",99581,2,2,1,2,2,2,2,1,1,5,1.26,1,2,1,1
"5880",99582,1,2,1,2,2,2,2,2,2,3,0.61,1,2,1,1
"5881",99583,1,2,2,2,2,2,2,2,1,7,2.97,3,2,1,1
"5882",99584,1,2,2,2,2,2,2,2,2,3,1.19,1,2,1,1
"5883",99585,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,2
"5884",99586,1,2,2,2,2,2,2,2,2,5,1.18,1,2,1,4
"5885",99587,2,1,1,2,2,2,2,2,2,5,1.26,1,2,1,1
"5886",99588,1,2,2,2,2,2,2,2,2,8,1.67,2,1,NA,1
"5887",99589,1,2,2,2,2,2,2,2,2,11,2.92,3,2,3,1
"5888",99590,2,2,2,2,2,1,2,2,2,2,0.54,1,2,1,4
"5889",99591,1,2,1,2,2,2,2,2,2,6,0.72,1,2,1,1
"5890",99592,1,1,2,2,2,2,2,2,2,11,2.92,3,2,1,1
"5891",99593,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5892",99594,1,2,2,2,2,2,2,2,2,5,0.83,1,2,1,1
"5893",99595,2,2,2,2,2,2,2,2,2,3,1.19,1,2,1,1
"5894",99596,1,1,2,2,2,2,2,2,2,8,2.15,3,2,1,1
"5895",99597,2,2,1,2,1,2,2,1,2,10,4.43,3,1,NA,1
"5896",99598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5897",99599,1,1,1,2,2,2,2,1,2,11,5,3,1,NA,1
"5898",99600,2,2,2,2,2,2,2,2,2,3,0.79,1,2,1,1
"5899",99601,1,2,2,2,2,2,2,2,1,9,3,3,1,NA,1
"5900",99602,1,2,2,2,2,2,2,2,2,12,5,3,2,1,1
"5901",99603,1,2,1,2,2,2,2,2,2,9,3.69,3,1,NA,1
"5902",99604,2,2,1,2,2,2,2,1,2,99,NA,3,1,NA,1
"5903",99605,1,1,2,2,2,2,2,2,2,9,2.77,3,2,2,1
"5904",99606,1,2,1,2,2,2,2,2,2,99,NA,3,2,2,1
"5905",99607,1,2,2,2,2,2,2,2,2,10,2.06,3,2,1,1
"5906",99608,1,2,2,2,2,2,2,1,2,99,NA,1,1,NA,1
"5907",99609,1,1,2,2,2,2,2,2,2,99,NA,3,2,1,1
"5908",99610,1,1,1,2,2,1,2,2,1,6,0.84,1,2,1,1
"5909",99611,1,1,2,2,2,2,2,1,2,8,1.91,3,1,NA,1
"5910",99612,1,1,1,2,2,2,2,2,2,6,1.32,2,2,1,1
"5911",99613,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5912",99614,2,2,2,1,2,2,1,2,1,12,5,3,2,1,1
"5913",99615,2,2,1,2,2,2,2,2,2,3,0.81,1,2,1,1
"5914",99616,1,2,2,2,2,2,2,2,1,9,1.42,2,2,1,1
"5915",99617,1,1,2,2,2,2,2,2,2,99,NA,2,2,1,1
"5916",99618,1,1,2,2,2,2,2,2,2,8,3.33,3,2,1,1
"5917",99619,2,2,1,2,2,2,2,2,2,3,0.99,1,2,1,1
"5918",99620,1,2,2,2,2,2,2,2,1,4,0.72,1,2,2,1
"5919",99621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5920",99622,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5921",99623,2,2,2,2,2,2,1,2,2,2,0.41,1,2,1,3
"5922",99624,1,1,2,2,2,2,2,2,2,2,0.29,1,2,1,2
"5923",99625,1,2,1,2,1,2,2,1,2,10,3.99,3,1,NA,1
"5924",99626,2,2,1,2,2,1,2,2,1,6,1.17,1,2,1,1
"5925",99627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5926",99628,1,1,2,2,2,2,2,9,2,99,NA,3,1,NA,1
"5927",99629,1,2,2,2,2,2,2,2,2,2,0.41,1,2,1,1
"5928",99630,2,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5929",99631,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,1
"5930",99632,1,1,2,2,2,2,2,1,2,99,NA,3,1,NA,2
"5931",99633,2,2,1,2,2,2,2,2,2,99,NA,2,2,1,4
"5932",99634,1,1,1,2,2,2,2,2,2,8,1.6,2,1,NA,1
"5933",99635,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5934",99636,1,2,2,2,2,2,2,2,2,10,2.87,3,2,1,1
"5935",99637,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5936",99638,1,2,2,2,2,2,2,2,2,7,0.92,1,2,3,1
"5937",99639,9,2,9,9,9,9,2,2,2,99,NA,2,9,NA,2
"5938",99640,1,2,1,2,1,2,2,2,2,6,1.37,2,2,1,1
